isogroup gene annotation,
TRINITY_DN28348_c0_g1,Septin-7 OS=Pongo abelii GN=SEPT7 PE=2 SV=2 E(blastx)=4e-06
TRINITY_DN21968_c0_g1,Tubulin alpha-1 chain OS=Drosophila melanogaster GN=alphaTub84B PE=1 SV=1 E(blastx)=2e-77
TRINITY_DN37959_c0_g1,Coiled-coil domain-containing protein 47 OS=Danio rerio GN=ccdc47 PE=2 SV=1 E(blastx)=7e-16
TRINITY_DN37853_c0_g1,NADH-ubiquinone oxidoreductase chain 1 (Fragments) OS=Drosophila bifasciata GN=mt:ND1 PE=3 SV=2 E(blastx)=3e-29
TRINITY_DN30308_c0_g1,Probable global transcription activator SNF2L1 OS=Mus musculus GN=Smarca1 PE=1 SV=1 E(blastx)=2e-40
TRINITY_DN25549_c1_g1,40S ribosomal protein S16 OS=Heteropneustes fossilis GN=rps16 PE=2 SV=1 E(blastx)=9e-31
TRINITY_DN36849_c0_g1,Lysine-specific histone demethylase 1 homolog 1 OS=Oryza sativa subsp. japonica GN=Os02g0755200 PE=2 SV=1 E(blastx)=6e-10
TRINITY_DN8627_c0_g1,Spermatogenesis-associated protein 1 OS=Rattus norvegicus GN=Spata1 PE=2 SV=1 E(blastx)=2e-07
TRINITY_DN17966_c0_g1,40S ribosomal protein S2 OS=Drosophila melanogaster GN=RpS2 PE=1 SV=2 E(blastx)=4e-76
TRINITY_DN27963_c0_g1,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1 OS=Rattus norvegicus GN=Smarce1 PE=1 SV=1 E(blastx)=2e-07
TRINITY_DN10579_c0_g1,Lectin L6 OS=Tachypleus tridentatus PE=1 SV=1 E(blastx)=1e-12
TRINITY_DN36534_c0_g1,Dynein regulatory complex protein 1 OS=Mus musculus GN=Drc1 PE=1 SV=1 E(blastx)=4e-11
TRINITY_DN10297_c0_g1,Arginine kinase OS=Liolophura japonica PE=2 SV=1 E(blastx)=5e-64
TRINITY_DN29075_c0_g1,"Actin, cytoplasmic 1 OS=Oryctolagus cuniculus GN=ACTB PE=2 SV=1 E(blastx)=2e-10"
TRINITY_DN1244_c0_g1,NADH-ubiquinone oxidoreductase chain 4 OS=Lumbricus terrestris GN=ND4 PE=3 SV=1 E(blastx)=5e-29
TRINITY_DN31699_c0_g1,Peptide methionine sulfoxide reductase MsrA OS=Cyanothece sp. (strain PCC 8801) GN=msrA PE=3 SV=1 E(blastx)=3e-26
TRINITY_DN26846_c0_g1,Splicing factor 1 OS=Mus musculus GN=Sf1 PE=1 SV=6 E(blastx)=5e-24
TRINITY_DN30755_c0_g1,Paramyosin OS=Mytilus galloprovincialis PE=2 SV=1 E(blastx)=2e-11
TRINITY_DN30677_c0_g1,Ubiquitin-associated protein 2 OS=Homo sapiens GN=UBAP2 PE=1 SV=1 E(blastx)=1e-07
TRINITY_DN24109_c0_g1,Magnesium transporter protein 1 OS=Gallus gallus GN=MAGT1 PE=2 SV=1 E(blastx)=9e-14
TRINITY_DN19543_c0_g1,40S ribosomal protein S13 OS=Rattus norvegicus GN=Rps13 PE=1 SV=2 E(blastx)=7e-44
TRINITY_DN6146_c0_g1,SET and MYND domain-containing protein 5 OS=Xenopus laevis GN=smyd5 PE=2 SV=1 E(blastx)=3e-23
TRINITY_DN6676_c0_g1,Programmed cell death protein 5 OS=Bos taurus GN=PDCD5 PE=2 SV=3 E(blastx)=2e-12
TRINITY_DN24824_c0_g1,RNA-directed DNA polymerase from mobile element jockey OS=Drosophila melanogaster GN=pol PE=1 SV=1 E(blastx)=3e-05
TRINITY_DN23026_c0_g1,Coiled-coil domain-containing protein 40 OS=Homo sapiens GN=CCDC40 PE=2 SV=2 E(blastx)=8e-11
TRINITY_DN30742_c0_g1,Protein TAR1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TAR1 PE=2 SV=1 E(blastx)=1e-14
TRINITY_DN25848_c0_g1,Elongation factor 1-alpha OS=Danio rerio GN=eef1a PE=2 SV=1 E(blastx)=1e-69
TRINITY_DN12268_c0_g1,Probable ATP-dependent RNA helicase DDX10 OS=Mus musculus GN=Ddx10 PE=1 SV=2 E(blastx)=3e-32
TRINITY_DN9368_c0_g1,Radial spoke head protein 4 homolog A OS=Homo sapiens GN=RSPH4A PE=1 SV=1 E(blastx)=2e-16
TRINITY_DN37045_c0_g1,Complement C1q tumor necrosis factor-related protein 3 OS=Mus musculus GN=C1qtnf3 PE=2 SV=1 E(blastx)=2e-05
TRINITY_DN30682_c0_g1,Nucleolar protein 10 OS=Danio rerio GN=nol10 PE=2 SV=1 E(blastx)=5e-09
TRINITY_DN23648_c0_g1,Ribosomal RNA processing protein 1 homolog A OS=Homo sapiens GN=RRP1 PE=1 SV=1 E(blastx)=1e-10
TRINITY_DN678_c0_g1,Thimet oligopeptidase OS=Homo sapiens GN=THOP1 PE=1 SV=2 E(blastx)=3e-08
TRINITY_DN28244_c0_g1,Cilia- and flagella-associated protein 52 OS=Homo sapiens GN=CFAP52 PE=1 SV=3 E(blastx)=1e-16
TRINITY_DN36200_c0_g1,GTPase HRas OS=Gallus gallus GN=HRAS PE=1 SV=1 E(blastx)=6e-47
TRINITY_DN24043_c0_g1,Tetratricopeptide repeat protein 4 OS=Homo sapiens GN=TTC4 PE=1 SV=3 E(blastx)=5e-06
TRINITY_DN36258_c0_g1,Nucleolar and spindle-associated protein 1 OS=Danio rerio GN=nusap1 PE=2 SV=2 E(blastx)=6e-08
TRINITY_DN29464_c0_g1,Eukaryotic translation initiation factor 3 subunit F OS=Homo sapiens GN=EIF3F PE=1 SV=1 E(blastx)=1e-31
TRINITY_DN7855_c0_g1,Multidrug resistance-associated protein 1 OS=Macaca fascicularis GN=ABCC1 PE=2 SV=1 E(blastx)=5e-17
TRINITY_DN37462_c0_g1,RNA-binding Raly-like protein OS=Homo sapiens GN=RALYL PE=1 SV=2 E(blastx)=5e-15
TRINITY_DN38141_c0_g1,Ankyrin repeat and KH domain-containing protein 1 OS=Homo sapiens GN=ANKHD1 PE=1 SV=1 E(blastx)=1e-11
TRINITY_DN30548_c0_g1,"Testis, prostate and placenta-expressed protein OS=Mus musculus GN=Tepp PE=2 SV=1 E(blastx)=2e-08"
TRINITY_DN3808_c0_g1,"RNA-binding motif protein, X-linked 2 OS=Rattus norvegicus GN=Rbmx2 PE=2 SV=1 E(blastx)=1e-06"
TRINITY_DN7674_c0_g1,Alpha-2-macroglobulin receptor-associated protein OS=Homo sapiens GN=LRPAP1 PE=1 SV=1 E(blastx)=1e-08
TRINITY_DN25610_c1_g1,Craniofacial development protein 2 OS=Bos taurus GN=CFDP2 PE=1 SV=2 E(blastx)=2e-23
TRINITY_DN10988_c0_g1,Dynein regulatory complex protein 1 OS=Macaca fascicularis GN=DRC1 PE=2 SV=2 E(blastx)=4e-20
TRINITY_DN14032_c0_g1,Corepressor interacting with RBPJ 1 OS=Gallus gallus GN=CIR1 PE=2 SV=1 E(blastx)=4e-19
TRINITY_DN29440_c0_g1,Plastin-1 OS=Bos taurus GN=PLS1 PE=2 SV=1 E(blastx)=1e-26
TRINITY_DN18455_c0_g1,Cold shock domain-containing protein E1 OS=Rattus norvegicus GN=Csde1 PE=2 SV=1 E(blastx)=7e-40
TRINITY_DN6189_c0_g1,Heat shock 70 kDa protein 4 OS=Canis lupus familiaris GN=HSPA4 PE=1 SV=1 E(blastx)=3e-08
TRINITY_DN7438_c0_g1,MBT domain-containing protein 1 OS=Xenopus laevis GN=mbtd1 PE=2 SV=1 E(blastx)=3e-19
TRINITY_DN23976_c0_g1,PRKR-interacting protein 1 homolog OS=Xenopus laevis GN=prkrip1 PE=2 SV=1 E(blastx)=8e-19
TRINITY_DN38280_c0_g1,RUN and FYVE domain-containing protein 2 OS=Mus musculus GN=Rufy2 PE=1 SV=2 E(blastx)=5e-24
TRINITY_DN37451_c0_g1,Transcription factor 7 OS=Homo sapiens GN=TCF7 PE=1 SV=3 E(blastx)=2e-27
TRINITY_DN30860_c0_g1,LINE-1 retrotransposable element ORF2 protein OS=Mus musculus GN=Pol PE=1 SV=2 E(blastx)=9e-05
TRINITY_DN30918_c0_g1,Tropomyosin-2 OS=Biomphalaria glabrata PE=2 SV=1 E(blastx)=8e-31
TRINITY_DN38536_c0_g1,Kinesin-like protein KIF1B OS=Mus musculus GN=Kif1b PE=1 SV=2 E(blastx)=7e-46
TRINITY_DN29346_c0_g1,Coiled-coil domain-containing protein 146 OS=Rattus norvegicus GN=Ccdc146 PE=1 SV=1 E(blastx)=2e-14
TRINITY_DN27805_c0_g1,Mitochondrial import inner membrane translocase subunit Tim17-B OS=Homo sapiens GN=TIMM17B PE=1 SV=1 E(blastx)=7e-31
TRINITY_DN30409_c0_g1,Vacuolar protein sorting-associated protein VTA1 homolog OS=Bos taurus GN=VTA1 PE=2 SV=1 E(blastx)=1e-22
TRINITY_DN7110_c0_g1,"Dynein intermediate chain 1, axonemal OS=Bos taurus GN=DNAI1 PE=2 SV=1 E(blastx)=4e-10"
TRINITY_DN25311_c0_g1,Glioma tumor suppressor candidate region gene 2 protein OS=Homo sapiens GN=GLTSCR2 PE=1 SV=2 E(blastx)=1e-15
TRINITY_DN10658_c0_g1,Glutathione S-transferase P 1 OS=Mus musculus GN=Gstp1 PE=1 SV=2 E(blastx)=1e-17
TRINITY_DN9167_c0_g1,Sorting nexin-3 OS=Rattus norvegicus GN=Snx3 PE=1 SV=1 E(blastx)=1e-21
TRINITY_DN27801_c0_g1,Myosin-2 essential light chain OS=Drosophila melanogaster GN=Mlc-c PE=1 SV=1 E(blastx)=1e-25
TRINITY_DN37976_c0_g1,Terminal uridylyltransferase 4 OS=Mus musculus GN=Zcchc11 PE=1 SV=2 E(blastx)=8e-07
TRINITY_DN26712_c0_g1,Protein FAM46A OS=Homo sapiens GN=FAM46A PE=1 SV=2 E(blastx)=2e-34
TRINITY_DN24486_c0_g1,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 4 OS=Rattus norvegicus GN=Ost4 PE=3 SV=1 E(blastx)=4e-12
TRINITY_DN6539_c0_g1,Regulation of nuclear pre-mRNA domain-containing protein 1B OS=Mus musculus GN=Rprd1b PE=1 SV=2 E(blastx)=7e-15
TRINITY_DN32410_c0_g1,Protein phosphatase 1 regulatory subunit 16A OS=Homo sapiens GN=PPP1R16A PE=1 SV=1 E(blastx)=4e-08
TRINITY_DN11268_c0_g1,60S ribosomal protein L34-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL34B PE=1 SV=1 E(blastx)=2e-24
TRINITY_DN32527_c0_g1,Survival motor neuron protein 1 OS=Danio rerio GN=smn1 PE=1 SV=1 E(blastx)=5e-09
TRINITY_DN23229_c0_g1,Mortality factor 4-like protein 1 OS=Rattus norvegicus GN=Morf4l1 PE=2 SV=1 E(blastx)=1e-25
TRINITY_DN25966_c0_g1,Eukaryotic translation initiation factor 3 subunit F OS=Mus musculus GN=Eif3f PE=1 SV=2 E(blastx)=7e-16
TRINITY_DN38672_c0_g1,Protein PTHB1 OS=Xenopus laevis GN=bbs9 PE=2 SV=1 E(blastx)=5e-45
TRINITY_DN33820_c0_g1,Protein PRRC2C OS=Mus musculus GN=Prrc2c PE=1 SV=3 E(blastx)=3e-07
TRINITY_DN31111_c0_g1,Protein phosphatase 1A OS=Rattus norvegicus GN=Ppm1a PE=1 SV=1 E(blastx)=2e-19
TRINITY_DN12112_c0_g1,Translocon-associated protein subunit gamma OS=Rattus norvegicus GN=Ssr3 PE=1 SV=2 E(blastx)=5e-26
TRINITY_DN1750_c0_g1,Proteasome subunit alpha type-6 OS=Mus musculus GN=Psma6 PE=1 SV=1 E(blastx)=6e-09
TRINITY_DN35275_c0_g1,Charged multivesicular body protein 2a OS=Xenopus tropicalis GN=chmp2a PE=2 SV=1 E(blastx)=2e-48
TRINITY_DN6641_c0_g1,Protein PRRC2C OS=Homo sapiens GN=PRRC2C PE=1 SV=4 E(blastx)=2e-08
TRINITY_DN6482_c0_g1,Structural maintenance of chromosomes protein 1A OS=Mus musculus GN=Smc1a PE=1 SV=4 E(blastx)=2e-18
TRINITY_DN26979_c0_g1,6-phosphogluconolactonase OS=Mus musculus GN=Pgls PE=1 SV=1 E(blastx)=2e-24
TRINITY_DN35285_c0_g1,Helicase SRCAP OS=Homo sapiens GN=SRCAP PE=1 SV=3 E(blastx)=6e-10
TRINITY_DN35105_c0_g1,Transient receptor potential cation channel subfamily M member 2 OS=Homo sapiens GN=TRPM2 PE=1 SV=2 E(blastx)=7e-07
TRINITY_DN24704_c2_g1,Proteasome subunit beta type-5 OS=Rattus norvegicus GN=Psmb5 PE=1 SV=3 E(blastx)=6e-17
TRINITY_DN39829_c0_g1,Protein canopy homolog 4 OS=Mus musculus GN=Cnpy4 PE=1 SV=1 E(blastx)=5e-25
TRINITY_DN32997_c0_g1,Peptidyl-prolyl cis-trans isomerase CWC27 homolog OS=Pongo abelii GN=CWC27 PE=2 SV=1 E(blastx)=1e-50
TRINITY_DN34254_c0_g1,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6 OS=Mus musculus GN=Ndufa6 PE=1 SV=1 E(blastx)=1e-29
TRINITY_DN39329_c0_g1,Protein HGH1 homolog OS=Homo sapiens GN=HGH1 PE=1 SV=1 E(blastx)=4e-22
TRINITY_DN4119_c0_g1,40S ribosomal protein S3a OS=Aplysia californica GN=RPS3A PE=3 SV=2 E(blastx)=3e-55
TRINITY_DN13238_c0_g1,PERQ amino acid-rich with GYF domain-containing protein CG11148 OS=Drosophila melanogaster GN=CG11148 PE=1 SV=2 E(blastx)=8e-14
TRINITY_DN15881_c0_g1,Cation-dependent mannose-6-phosphate receptor OS=Mus musculus GN=M6pr PE=1 SV=1 E(blastx)=8e-28
TRINITY_DN25920_c0_g1,60S ribosomal protein L19 OS=Xenopus laevis GN=rpl19 PE=2 SV=1 E(blastx)=3e-05
TRINITY_DN24997_c0_g1,Diphthamide biosynthesis protein 1 OS=Xenopus laevis GN=dph1 PE=2 SV=2 E(blastx)=1e-19
TRINITY_DN34735_c0_g1,Signal transducer and activator of transcription 5A OS=Sus scrofa GN=STAT5A PE=2 SV=1 E(blastx)=4e-10
TRINITY_DN12629_c0_g1,Ribosome biogenesis protein WDR12 homolog OS=Ixodes scapularis GN=ISCW009002 PE=3 SV=1 E(blastx)=2e-11
TRINITY_DN35190_c0_g1,Cytoplasmic tRNA 2-thiolation protein 2 OS=Bos taurus GN=CTU2 PE=2 SV=2 E(blastx)=2e-20
TRINITY_DN21417_c0_g1,Sorting nexin-2 OS=Bos taurus GN=SNX2 PE=2 SV=1 E(blastx)=3e-20
TRINITY_DN38600_c0_g1,Plasma kallikrein OS=Mus musculus GN=Klkb1 PE=1 SV=2 E(blastx)=4e-14
TRINITY_DN9833_c0_g1,Cilia- and flagella-associated protein 20 OS=Drosophila melanogaster GN=Bug22 PE=2 SV=1 E(blastx)=3e-16
TRINITY_DN25903_c0_g1,Alpha-amylase OS=Pecten maximus PE=2 SV=1 E(blastx)=8e-07
TRINITY_DN27909_c0_g1,Collectin-12 OS=Homo sapiens GN=COLEC12 PE=1 SV=3 E(blastx)=4e-09
TRINITY_DN9029_c0_g1,Retrovirus-related Pol polyprotein from transposon 17.6 OS=Drosophila melanogaster GN=pol PE=3 SV=1 E(blastx)=2e-16
TRINITY_DN24531_c0_g1,Eukaryotic translation initiation factor 3 subunit J OS=Homo sapiens GN=EIF3J PE=1 SV=2 E(blastx)=2e-20
TRINITY_DN20327_c0_g1,CXXC-type zinc finger protein 1 OS=Bos taurus GN=CXXC1 PE=2 SV=1 E(blastx)=3e-18
TRINITY_DN25962_c0_g1,Eukaryotic translation initiation factor 3 subunit K OS=Danio rerio GN=eif3k PE=2 SV=1 E(blastx)=5e-13
TRINITY_DN34999_c0_g1,"Myosin heavy chain, striated muscle OS=Argopecten irradians PE=1 SV=1 E(blastx)=3e-88"
TRINITY_DN26357_c0_g1,PAB-dependent poly(A)-specific ribonuclease subunit PAN2 OS=Gallus gallus GN=PAN2 PE=2 SV=1 E(blastx)=6e-05
TRINITY_DN26133_c0_g1,Transcription initiation factor TFIID subunit 5 OS=Homo sapiens GN=TAF5 PE=1 SV=3 E(blastx)=4e-34
TRINITY_DN30614_c0_g1,Sodium bicarbonate cotransporter 3 OS=Homo sapiens GN=SLC4A7 PE=1 SV=2 E(blastx)=4e-12
TRINITY_DN37357_c0_g1,C-terminal-binding protein OS=Drosophila melanogaster GN=CtBP PE=1 SV=3 E(blastx)=9e-51
TRINITY_DN34252_c0_g1,Probable endonuclease 4 OS=Chlorobium luteolum (strain DSM 273 / 2530) GN=nfo PE=3 SV=1 E(blastx)=4e-06
TRINITY_DN35791_c0_g1,Neurobeachin OS=Drosophila melanogaster GN=rg PE=1 SV=4 E(blastx)=9e-21
TRINITY_DN24184_c0_g1,Tetratricopeptide repeat protein 25 OS=Danio rerio GN=ttc25 PE=2 SV=1 E(blastx)=3e-12
TRINITY_DN26275_c0_g1,Chromobox protein homolog 3 OS=Pongo abelii GN=CBX3 PE=2 SV=1 E(blastx)=6e-36
TRINITY_DN37603_c0_g1,Ribosome biogenesis protein NSA2 homolog OS=Rattus norvegicus GN=Nsa2 PE=2 SV=2 E(blastx)=3e-31
TRINITY_DN7104_c0_g1,Kinesin-like protein KIF15 OS=Strongylocentrotus purpuratus GN=KIF15 PE=1 SV=1 E(blastx)=3e-23
TRINITY_DN33176_c0_g1,MAGUK p55 subfamily member 6 OS=Mus musculus GN=Mpp6 PE=1 SV=1 E(blastx)=7e-20
TRINITY_DN36833_c0_g1,Peptidyl-prolyl cis-trans isomerase-like 3 OS=Gallus gallus GN=PPIL3 PE=2 SV=1 E(blastx)=7e-41
TRINITY_DN721_c0_g1,Mammalian ependymin-related protein 1 OS=Bos taurus GN=EPDR1 PE=2 SV=1 E(blastx)=9e-06
TRINITY_DN1581_c0_g1,Collectin-10 OS=Gallus gallus GN=COLEC10 PE=2 SV=1 E(blastx)=1e-07
TRINITY_DN25485_c0_g1,General transcription factor IIF subunit 1 OS=Xenopus laevis GN=gtf2f1 PE=2 SV=1 E(blastx)=8e-23
TRINITY_DN20786_c0_g1,Elongation factor 1-alpha 1 OS=Drosophila melanogaster GN=Ef1alpha48D PE=1 SV=2 E(blastx)=1e-17
TRINITY_DN22706_c0_g2,Protein SET OS=Mus musculus GN=Set PE=1 SV=1 E(blastx)=3e-74
TRINITY_DN36706_c0_g1,Actin (Fragment) OS=Dictyocaulus viviparus PE=2 SV=1 E(blastx)=1e-10
TRINITY_DN27077_c0_g1,Cilia- and flagella-associated protein 70 OS=Macaca fascicularis GN=CFAP70 PE=2 SV=2 E(blastx)=3e-06
TRINITY_DN24523_c0_g1,Transcription factor 7 OS=Homo sapiens GN=TCF7 PE=1 SV=3 E(blastx)=2e-41
TRINITY_DN21238_c0_g1,Elongation of very long chain fatty acids protein 4 OS=Macaca mulatta GN=ELOVL4 PE=3 SV=1 E(blastx)=4e-24
TRINITY_DN11313_c0_g1,Protein FRA10AC1 homolog OS=Rattus norvegicus GN=Fra10ac1 PE=1 SV=1 E(blastx)=8e-09
TRINITY_DN15015_c0_g1,Intraflagellar transport protein 43 homolog A OS=Salmo salar GN=ift43a PE=2 SV=1 E(blastx)=1e-22
TRINITY_DN26493_c0_g1,Formin-binding protein 1 OS=Mus musculus GN=Fnbp1 PE=1 SV=2 E(blastx)=4e-18
TRINITY_DN17932_c0_g1,Cystine/glutamate transporter OS=Mus musculus GN=Slc7a11 PE=1 SV=1 E(blastx)=1e-22
TRINITY_DN27794_c0_g1,Galectin-3-binding protein A OS=Danio rerio GN=lgals3bpa PE=2 SV=1 E(blastx)=7e-17
TRINITY_DN7924_c0_g1,DnaJ homolog subfamily C member 8 OS=Rattus norvegicus GN=Dnajc8 PE=2 SV=1 E(blastx)=6e-44
TRINITY_DN35128_c0_g1,"Dynein heavy chain 2, axonemal OS=Homo sapiens GN=DNAH2 PE=2 SV=3 E(blastx)=2e-36"
TRINITY_DN12167_c0_g1,Protein FAM183A OS=Bos taurus GN=FAM183A PE=2 SV=1 E(blastx)=3e-09
TRINITY_DN18215_c0_g1,Low-density lipoprotein receptor-related protein 2 OS=Homo sapiens GN=LRP2 PE=1 SV=3 E(blastx)=6e-16
TRINITY_DN30230_c0_g1,Vigilin OS=Homo sapiens GN=HDLBP PE=1 SV=2 E(blastx)=5e-26
TRINITY_DN10881_c0_g1,Cysteine and glycine-rich protein 2 OS=Gallus gallus GN=CSRP2 PE=2 SV=3 E(blastx)=4e-11
TRINITY_DN32086_c0_g1,Arylsulfatase B OS=Mus musculus GN=Arsb PE=1 SV=3 E(blastx)=4e-15
TRINITY_DN39110_c0_g1,DNA ligase 1 OS=Xenopus laevis GN=lig1 PE=2 SV=1 E(blastx)=7e-36
TRINITY_DN24746_c0_g1,Putative hydrolase RBBP9 OS=Mus musculus GN=Rbbp9 PE=1 SV=2 E(blastx)=3e-32
TRINITY_DN30969_c0_g1,Unconventional myosin-Va OS=Gallus gallus GN=MYO5A PE=1 SV=1 E(blastx)=5e-05
TRINITY_DN7077_c0_g1,Protein PIF OS=Pinctada fucata PE=1 SV=1 E(blastx)=2e-07
TRINITY_DN8144_c0_g1,Cytosolic non-specific dipeptidase OS=Bos taurus GN=CNDP2 PE=2 SV=1 E(blastx)=1e-06
TRINITY_DN23773_c1_g1,60S ribosomal protein L15 OS=Quercus suber GN=RPL15 PE=2 SV=1 E(blastx)=8e-10
TRINITY_DN31963_c0_g1,DNA repair protein RAD50 OS=Mus musculus GN=Rad50 PE=1 SV=1 E(blastx)=2e-06
TRINITY_DN12_c0_g1,Kinesin-like protein KIF1C OS=Rattus norvegicus GN=Kif1c PE=1 SV=1 E(blastx)=1e-25
TRINITY_DN34380_c0_g1,Leucine-rich repeat flightless-interacting protein 2 OS=Rattus norvegicus GN=Lrrfip2 PE=1 SV=1 E(blastx)=6e-11
TRINITY_DN27599_c0_g1,[F-actin]-methionine sulfoxide oxidase MICAL3 OS=Homo sapiens GN=MICAL3 PE=1 SV=2 E(blastx)=2e-17
TRINITY_DN1222_c0_g1,Bifunctional apoptosis regulator OS=Rattus norvegicus GN=Bfar PE=2 SV=1 E(blastx)=9e-22
TRINITY_DN34826_c0_g1,Ubiquitin-conjugating enzyme E2 variant 2 OS=Xenopus laevis GN=ube2v2 PE=2 SV=1 E(blastx)=4e-27
TRINITY_DN39684_c0_g1,Septin-7 OS=Pongo abelii GN=SEPT7 PE=2 SV=2 E(blastx)=5e-33
TRINITY_DN19581_c0_g1,Glutathione S-transferase 2 OS=Manduca sexta GN=GST2 PE=2 SV=1 E(blastx)=3e-16
TRINITY_DN27348_c0_g1,Protein FAM177A1 OS=Homo sapiens GN=FAM177A1 PE=1 SV=1 E(blastx)=2e-16
TRINITY_DN33919_c0_g1,Regulator of nonsense transcripts 3A OS=Danio rerio GN=upf3a PE=2 SV=2 E(blastx)=1e-21
TRINITY_DN1432_c0_g1,STE20-like serine/threonine-protein kinase OS=Rattus norvegicus GN=Slk PE=1 SV=1 E(blastx)=1e-19
TRINITY_DN32165_c0_g1,"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial OS=Mus musculus GN=Ndufv1 PE=1 SV=1 E(blastx)=5e-51"
TRINITY_DN35005_c0_g1,Replication factor C subunit 2 OS=Gallus gallus GN=RFC2 PE=2 SV=1 E(blastx)=3e-39
TRINITY_DN26147_c0_g1,WW domain-binding protein 11 OS=Danio rerio GN=wbp11 PE=1 SV=1 E(blastx)=3e-34
TRINITY_DN2890_c0_g1,Major vault protein OS=Strongylocentrotus purpuratus GN=MVP PE=1 SV=1 E(blastx)=1e-31
TRINITY_DN38541_c0_g1,60S ribosomal protein L7 OS=Rattus norvegicus GN=Rpl7 PE=1 SV=2 E(blastx)=6e-13
TRINITY_DN33105_c0_g1,Cytochrome c oxidase subunit 2 OS=Metridium senile GN=COII PE=3 SV=1 E(blastx)=2e-44
TRINITY_DN24724_c0_g1,G1/S-specific cyclin-D2 OS=Rattus norvegicus GN=Ccnd2 PE=1 SV=1 E(blastx)=7e-10
TRINITY_DN34588_c0_g1,Septin-8 OS=Homo sapiens GN=SEPT8 PE=1 SV=4 E(blastx)=1e-19
TRINITY_DN7496_c0_g1,Fibronectin type 3 and ankyrin repeat domains protein 1 OS=Homo sapiens GN=FANK1 PE=2 SV=3 E(blastx)=5e-20
TRINITY_DN26351_c0_g1,Centrosomal protein of 112 kDa OS=Mus musculus GN=Cep112 PE=2 SV=2 E(blastx)=2e-08
TRINITY_DN26342_c0_g1,"Fructose-1,6-bisphosphatase class 1 OS=Desulfovibrio alaskensis (strain G20) GN=fbp PE=3 SV=1 E(blastx)=1e-12"
TRINITY_DN32401_c0_g1,Endoplasmic reticulum resident protein 44 OS=Mus musculus GN=Erp44 PE=1 SV=1 E(blastx)=5e-15
TRINITY_DN35199_c0_g1,Probable 18S rRNA (guanine-N(7))-methyltransferase OS=Mus musculus GN=Wbscr22 PE=1 SV=1 E(blastx)=2e-48
TRINITY_DN38543_c0_g1,Dysferlin OS=Homo sapiens GN=DYSF PE=1 SV=1 E(blastx)=2e-20
TRINITY_DN5056_c0_g1,Talin-1 OS=Homo sapiens GN=TLN1 PE=1 SV=3 E(blastx)=1e-12
TRINITY_DN37536_c1_g1,Kinesin-II 85 kDa subunit OS=Strongylocentrotus purpuratus GN=KRP85 PE=1 SV=1 E(blastx)=8e-10
TRINITY_DN4155_c0_g1,ATP-binding cassette sub-family F member 3 OS=Homo sapiens GN=ABCF3 PE=1 SV=2 E(blastx)=5e-11
TRINITY_DN31830_c0_g1,Endophilin-A3 OS=Homo sapiens GN=SH3GL3 PE=1 SV=1 E(blastx)=6e-19
TRINITY_DN31668_c0_g1,Cilia- and flagella-associated protein 43 OS=Homo sapiens GN=CFAP43 PE=2 SV=3 E(blastx)=5e-09
TRINITY_DN34618_c0_g1,Cytohesin-4 OS=Mus musculus GN=Cyth4 PE=1 SV=1 E(blastx)=2e-05
TRINITY_DN11339_c0_g1,Protein timeless homolog OS=Rattus norvegicus GN=Timeless PE=1 SV=1 E(blastx)=3e-09
TRINITY_DN5436_c0_g1,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A OS=Bos taurus GN=STT3A PE=2 SV=1 E(blastx)=1e-46
TRINITY_DN19305_c0_g1,Neutral alpha-glucosidase AB OS=Sus scrofa GN=GANAB PE=1 SV=1 E(blastx)=5e-08
TRINITY_DN17809_c0_g1,Nuclear GTP-binding protein NUG1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NUG1 PE=1 SV=1 E(blastx)=6e-05
TRINITY_DN35499_c0_g1,RNA-directed DNA polymerase from mobile element jockey OS=Drosophila melanogaster GN=pol PE=1 SV=1 E(blastx)=4e-10
TRINITY_DN11820_c0_g1,Heterogeneous nuclear ribonucleoprotein L OS=Mus musculus GN=Hnrnpl PE=1 SV=2 E(blastx)=9e-14
TRINITY_DN28533_c0_g1,Glutamate-rich protein 3 OS=Homo sapiens GN=ERICH3 PE=2 SV=1 E(blastx)=2e-25
TRINITY_DN8898_c0_g1,UMP-CMP kinase 2 OS=Caenorhabditis elegans GN=F40F8.1 PE=1 SV=1 E(blastx)=5e-23
TRINITY_DN270_c0_g1,Actin (Fragment) OS=Dictyocaulus viviparus PE=2 SV=1 E(blastx)=7e-05
TRINITY_DN35250_c0_g1,Ras-related protein Rab-40B OS=Homo sapiens GN=RAB40B PE=2 SV=1 E(blastx)=8e-12
TRINITY_DN30897_c0_g1,Myosin-11 OS=Homo sapiens GN=MYH11 PE=1 SV=3 E(blastx)=1e-37
TRINITY_DN92_c0_g1,"DNA topoisomerase I, mitochondrial OS=Pan troglodytes GN=TOP1MT PE=2 SV=1 E(blastx)=1e-29"
